山西联通-组播1,#genre#
江苏卫视4K,http://60.223.72.182:8003/rtp/226.0.1.249:2122
四川卫视4K,http://60.223.72.182:8003/rtp/226.0.1.250:2126
山东卫视4K,http://60.223.72.182:8003/rtp/226.0.1.251:2124
东南卫视,http://60.223.72.182:8003/rtp/226.0.2.188:9416
东南卫视,http://60.223.72.182:8003/rtp/226.0.2.40:8232
东方卫视,http://60.223.72.182:8003/rtp/226.0.2.175:9312
东方卫视,http://60.223.72.182:8003/rtp/226.0.2.34:8184
云南卫视,http://60.223.72.182:8003/rtp/226.0.2.60:8392
兵团卫视,http://60.223.72.182:8003/rtp/226.0.2.62:8408
内蒙古卫视,http://60.223.72.182:8003/rtp/226.0.2.63:8416
北京卫视,http://60.223.72.182:8003/rtp/226.0.2.177:9328
北京卫视,http://60.223.72.182:8003/rtp/226.0.2.39:8224
吉林卫视,http://60.223.72.182:8003/rtp/226.0.2.199:9504
吉林卫视,http://60.223.72.182:8003/rtp/226.0.2.58:8376
四川卫视,http://60.223.72.182:8003/rtp/226.0.2.179:9344
四川卫视,http://60.223.72.182:8003/rtp/226.0.2.42:8248
天津卫视,http://60.223.72.182:8003/rtp/226.0.2.148:9096
天津卫视,http://60.223.72.182:8003/rtp/226.0.2.56:8360
宁夏卫视,http://60.223.72.182:8003/rtp/226.0.2.64:8424
安徽卫视,http://60.223.72.182:8003/rtp/226.0.2.145:9072
安徽卫视,http://60.223.72.182:8003/rtp/226.0.2.37:8208
山东卫视,http://60.223.72.182:8003/rtp/226.0.2.149:9104
山东卫视,http://60.223.72.182:8003/rtp/226.0.2.51:8320
山东教育,http://60.223.72.182:8003/rtp/226.0.2.130:8952
广东卫视,http://60.223.72.182:8003/rtp/226.0.2.146:9080
广东卫视,http://60.223.72.182:8003/rtp/226.0.2.45:8272
广西卫视,http://60.223.72.182:8003/rtp/226.0.2.231:9760
广西卫视,http://60.223.72.182:8003/rtp/226.0.2.46:8280
新疆卫视,http://60.223.72.182:8003/rtp/226.0.2.67:8448
江苏卫视,http://60.223.72.182:8003/rtp/226.0.2.176:9320
江苏卫视,http://60.223.72.182:8003/rtp/226.0.2.38:8216
江西卫视,http://60.223.72.182:8003/rtp/226.0.2.198:9496
江西卫视,http://60.223.72.182:8003/rtp/226.0.2.54:8344
河北卫视,http://60.223.72.182:8003/rtp/226.0.2.178:9336
河北卫视,http://60.223.72.182:8003/rtp/226.0.2.65:8432
河南卫视,http://60.223.72.182:8003/rtp/226.0.2.195:9472
河南卫视,http://60.223.72.182:8003/rtp/226.0.2.52:8328
浙江卫视,http://60.223.72.182:8003/rtp/226.0.2.144:9064
浙江卫视,http://60.223.72.182:8003/rtp/226.0.2.36:8200
海南卫视,http://60.223.72.182:8003/rtp/226.0.2.212:9608
海南卫视,http://60.223.72.182:8003/rtp/226.0.2.61:8400
深圳卫视,http://60.223.72.182:8003/rtp/226.0.2.147:9088
深圳卫视,http://60.223.72.182:8003/rtp/226.0.2.47:8288
湖北卫视,http://60.223.72.182:8003/rtp/226.0.2.150:9112
湖北卫视,http://60.223.72.182:8003/rtp/226.0.2.49:8304
湖南卫视,http://60.223.72.182:8003/rtp/226.0.2.143:9056
湖南卫视,http://60.223.72.182:8003/rtp/226.0.2.33:8176
甘肃卫视,http://60.223.72.182:8003/rtp/226.0.2.55:8352
西藏卫视,http://60.223.72.182:8003/rtp/226.0.2.66:8440
贵州卫视,http://60.223.72.182:8003/rtp/226.0.2.180:9352
贵州卫视,http://60.223.72.182:8003/rtp/226.0.2.43:8256
辽宁卫视,http://60.223.72.182:8003/rtp/226.0.2.173:9296
辽宁卫视,http://60.223.72.182:8003/rtp/226.0.2.35:8192
重庆卫视,http://60.223.72.182:8003/rtp/226.0.2.174:9304
重庆卫视,http://60.223.72.182:8003/rtp/226.0.2.50:8312
