浙江电信-组播1,#genre#
辽宁卫视,http://dous.cc:4023/udp/233.50.201.141:5140
辽宁卫视,http://dous.cc:4023/udp/233.50.201.60:5140
甘肃卫视,http://dous.cc:4023/udp/233.50.200.163:5140$1080p
甘肃卫视,http://dous.cc:4023/udp/233.50.201.149:5140$576p
重庆卫视,http://dous.cc:4023/udp/233.50.200.114:5140$1080p
重庆卫视,http://dous.cc:4023/udp/233.50.200.86:5140$576p
重庆卫视,http://dous.cc:4023/udp/233.50.201.143:5140
重庆卫视,http://dous.cc:4023/udp/233.50.201.66:5140
陕西卫视,http://dous.cc:4023/udp/233.50.200.170:5140$576p
陕西卫视,http://dous.cc:4023/udp/233.50.201.59:5140
青海卫视,http://dous.cc:4023/udp/233.50.200.131:5140$576p
青海卫视,http://dous.cc:4023/udp/233.50.201.65:5140
黑龙江卫视,http://dous.cc:4023/udp/233.50.200.189:5140$1080p
黑龙江卫视,http://dous.cc:4023/udp/233.50.201.115:5140
黑龙江卫视,http://dous.cc:4023/udp/233.50.201.42:5140
浙江卫视,http://dous.cc:4023/udp/233.50.200.145:5140$1080p
浙江卫视,http://dous.cc:4023/udp/233.50.200.231:5140
浙江卫视,http://dous.cc:4023/udp/233.50.200.79:5140$576p
浙江卫视,http://dous.cc:4023/udp/233.50.201.100:5140
浙江卫视,http://dous.cc:4023/udp/233.50.201.193:5140
浙江卫视,http://dous.cc:4023/udp/233.50.201.27:5140
浙江少儿,http://dous.cc:4023/udp/233.50.200.208:5140$576p
浙江少儿,http://dous.cc:4023/udp/233.50.201.138:5140
浙江少儿,http://dous.cc:4023/udp/233.50.201.33:5140
浙江新闻,http://dous.cc:4023/udp/233.50.200.207:5140$576p
浙江新闻,http://dous.cc:4023/udp/233.50.201.137:5140
浙江新闻,http://dous.cc:4023/udp/233.50.201.34:5140
浙江民生休闲,http://dous.cc:4023/udp/233.50.201.136:5140
浙江民生休闲,http://dous.cc:4023/udp/233.50.200.206:5140$576p
浙江民生休闲,http://dous.cc:4023/udp/233.50.201.32:5140
浙江教科影视,http://dous.cc:4023/udp/233.50.201.134:5140
浙江教科影视,http://dous.cc:4023/udp/233.50.200.205:5140$576p
浙江教科影视,http://dous.cc:4023/udp/233.50.201.30:5140
浙江经济生活,http://dous.cc:4023/udp/233.50.200.204:5140$576p
浙江经济生活,http://dous.cc:4023/udp/233.50.201.133:5140
浙江经济生活,http://dous.cc:4023/udp/233.50.201.29:5140
浙江钱江都市,http://dous.cc:4023/udp/233.50.200.203:5140$576p
浙江钱江都市,http://dous.cc:4023/udp/233.50.201.132:5140
浙江钱江都市,http://dous.cc:4023/udp/233.50.201.28:5140
浙江之江纪录,http://dous.cc:4023/udp/233.50.202.25:5140
浙江好易购,http://dous.cc:4023/udp/233.50.201.248:5140
杭州综合,http://dous.cc:4023/udp/233.50.200.209:5140$576p
杭州综合,http://dous.cc:4023/udp/233.50.201.173:5140
杭州综合,http://dous.cc:4023/udp/233.50.201.21:5140
杭州导视,http://dous.cc:4023/udp/233.50.201.182:5140
杭州导视,http://dous.cc:4023/udp/233.50.201.26:5140
杭州影视,http://dous.cc:4023/udp/233.50.200.212:5140$576p
杭州影视,http://dous.cc:4023/udp/233.50.201.176:5140
杭州影视,http://dous.cc:4023/udp/233.50.201.24:5140
杭州生活,http://dous.cc:4023/udp/233.50.200.211:5140$576p
杭州生活,http://dous.cc:4023/udp/233.50.201.175:5140
杭州生活,http://dous.cc:4023/udp/233.50.201.23:5140
杭州西湖明珠,http://dous.cc:4023/udp/233.50.200.210:5140$576p
杭州西湖明珠,http://dous.cc:4023/udp/233.50.201.174:5140
杭州西湖明珠,http://dous.cc:4023/udp/233.50.201.22:5140
杭州青少体育,http://dous.cc:4023/udp/233.50.200.213:5140$576p
杭州青少体育,http://dous.cc:4023/udp/233.50.201.177:5140
杭州青少体育,http://dous.cc:4023/udp/233.50.201.25:5140
宁波新闻综合,http://dous.cc:4023/udp/233.50.201.168:5140$1080p
宁波新闻综合,http://dous.cc:4023/udp/233.50.200.26:5140$576p
宁波新闻综合,http://dous.cc:4023/udp/233.50.201.151:5140$576p
宁波经济生活,http://dous.cc:4023/udp/233.50.201.178:5140$1080p
宁波经济生活,http://dous.cc:4023/udp/233.50.200.27:5140$576p
宁波经济生活,http://dous.cc:4023/udp/233.50.201.152:5140$576p
宁波都市文体,http://dous.cc:4023/udp/233.50.201.179:5140$1080p
宁波都市文体,http://dous.cc:4023/udp/233.50.200.28:5140$576p
宁波都市文体,http://dous.cc:4023/udp/233.50.201.153:5140$576p
宁波影视剧,http://dous.cc:4023/udp/233.50.201.180:5140$1080p
宁波影视剧,http://dous.cc:4023/udp/233.50.200.29:5140$576p
宁波影视剧,http://dous.cc:4023/udp/233.50.201.154:5140$576p
温州新闻综合,http://dous.cc:4023/udp/233.50.201.87:5140
温州经济科技,http://dous.cc:4023/udp/233.50.202.23:5140
温州都市生活,http://dous.cc:4023/udp/233.50.202.24:5140
余姚新闻综合,http://dous.cc:4023/udp/233.50.201.87:5140
余杭综合,http://dous.cc:4023/udp/233.50.201.159:5140$576p
临平新闻,http://dous.cc:4023/udp/233.50.202.32:5140$576p
绍兴新闻综合,http://dous.cc:4023/udp/233.50.201.156:5140$576p
湖州新闻综合,http://dous.cc:4023/udp/233.50.201.158:5140$576p
金华新闻综合,http://dous.cc:4023/udp/233.50.201.161:5140$576p
丽水新闻综合,http://dous.cc:4023/udp/233.50.201.162:5140$576p
嘉兴新闻综合,http://dous.cc:4023/udp/233.50.201.163:5140$576p
桐乡新闻综合,http://dous.cc:4023/udp/233.50.201.169:5140$576p
衢州新闻综合,http://dous.cc:4023/udp/233.50.202.11:5140$1080p
衢州公共,http://dous.cc:4023/udp/233.50.202.12:5140$1080p
睛彩竞技,http://dous.cc:4023/udp/233.50.200.245:5140$1080p
睛彩广场舞,http://dous.cc:4023/udp/233.50.202.29:5140
睛彩竞技,http://dous.cc:4023/udp/233.50.202.26:5140
睛彩篮球,http://dous.cc:4023/udp/233.50.202.27:5140
睛彩青少,http://dous.cc:4023/udp/233.50.202.28:5140
东方财经,http://dous.cc:4023/udp/233.50.200.177:5140$1080p
东方财经,http://dous.cc:4023/udp/233.50.201.128:5140$1080p
第一财经,http://dous.cc:4023/udp/233.50.200.125:5140$1080p
快乐垂钓,http://dous.cc:4023/udp/233.50.200.123:5140$1080p
快乐垂钓,http://dous.cc:4023/udp/233.50.201.109:5140$1080p
多彩文体,http://dous.cc:4023/udp/233.50.200.229:5140$1080p
多彩文体,http://dous.cc:4023/udp/233.50.200.52:5140$2160p
多彩文体,http://dous.cc:4023/udp/233.50.201.189:5140$2160p
都市剧场,http://dous.cc:4023/udp/233.50.200.11:5140$1080p
都市剧场,http://dous.cc:4023/udp/233.50.201.190:5140$1080p
法治天地,http://dous.cc:4023/udp/233.50.200.120:5140$1080p
法治天地,http://dous.cc:4023/udp/233.50.201.191:5140$1080p
动漫秀场,http://dous.cc:4023/udp/233.50.200.12:5140$1080p
动漫秀场,http://dous.cc:4023/udp/233.50.201.184:5140$1080p
游戏风云,http://dous.cc:4023/udp/233.50.200.14:5140$1080p
游戏风云,http://dous.cc:4023/udp/233.50.201.183:5140$1080p
乐游,http://dous.cc:4023/udp/233.50.200.148:5140$1080p
乐游,http://dous.cc:4023/udp/233.50.201.185:5140$1080p
金色学堂,http://dous.cc:4023/udp/233.50.200.122:5140$1080p
金色学堂,http://dous.cc:4023/udp/233.50.201.186:5140$1080p
生活时尚,http://dous.cc:4023/udp/233.50.200.15:5140$1080p
生活时尚,http://dous.cc:4023/udp/233.50.201.187:5140$1080p
环球旅游,http://dous.cc:4023/udp/233.50.202.31:5140
生态环境,http://dous.cc:4023/udp/233.50.202.103:5140
生态环境,http://dous.cc:4023/udp/233.50.202.37:5140
电影-科幻,http://dous.cc:4023/udp/233.50.201.20:5140$576p
金鹰卡通,http://dous.cc:4023/udp/233.50.200.138:5140$576p
金鹰卡通,http://dous.cc:4023/udp/233.50.201.73:5140$576p
聚鲨环球精选,http://dous.cc:4023/udp/233.50.201.91:5140
购物,http://dous.cc:4023/udp/233.50.200.34:5140$576p
优购物,http://dous.cc:4023/udp/233.50.200.53:5140$576p
央广购物,http://dous.cc:4023/udp/233.50.201.93:5140
咪咕视频,http://dous.cc:4023/udp/233.50.201.194:5140
咪咕视频,http://dous.cc:4023/udp/233.50.201.195:5140
机动车标识,http://dous.cc:4023/udp/233.50.201.224:5140
机动车标识,http://dous.cc:4023/udp/233.50.201.225:5140
浙江之声广播,http://dous.cc:4023/udp/233.50.201.79:5140
浙江新闻广播,http://dous.cc:4023/udp/233.50.201.80:5140
浙江经济广播,http://dous.cc:4023/udp/233.50.201.81:5140
浙江音乐调频,http://dous.cc:4023/udp/233.50.201.82:5140
浙江交通之声,http://dous.cc:4023/udp/233.50.201.83:5140
浙江旅游之声,http://dous.cc:4023/udp/233.50.201.84:5140
浙江城市之声,http://dous.cc:4023/udp/233.50.201.85:5140
浙江民生资讯广播,http://dous.cc:4023/udp/233.50.201.86:5140

浙江电信-组播2,#genre#
BESTV,http://zjhuct.synology.me:8881/udp/233.50.200.233:5140$1080p
BESTV,http://zjhuct.synology.me:8881/udp/233.50.200.234:5140$1080p
BESTV,http://zjhuct.synology.me:8881/udp/233.50.200.235:5140$1080p
BESTV,http://zjhuct.synology.me:8881/udp/233.50.200.236:5140$1080p
BESTV,http://zjhuct.synology.me:8881/udp/233.50.200.237:5140$1080p
BESTV,http://zjhuct.synology.me:8881/udp/233.50.200.244:5140$1080p
BESTV,http://zjhuct.synology.me:8881/udp/233.50.200.246:5140$1080p
BESTV,http://zjhuct.synology.me:8881/udp/233.50.200.247:5140$1080p
BESTV,http://zjhuct.synology.me:8881/udp/233.50.200.31:5140$1080p
BESTV,http://zjhuct.synology.me:8881/udp/233.50.200.32:5140$1080p
BESTV,http://zjhuct.synology.me:8881/udp/233.50.201.201:5140
BESTV,http://zjhuct.synology.me:8881/udp/233.50.201.202:5140
BESTV,http://zjhuct.synology.me:8881/udp/233.50.201.203:5140
BESTV,http://zjhuct.synology.me:8881/udp/233.50.201.204:5140
BESTV,http://zjhuct.synology.me:8881/udp/233.50.201.205:5140
BESTV,http://zjhuct.synology.me:8881/udp/233.50.201.206:5140
BESTV,http://zjhuct.synology.me:8881/udp/233.50.201.207:5140
BESTV4K动画,http://zjhuct.synology.me:8881/udp/233.50.200.183:5140$2160p
BESTV4K电影,http://zjhuct.synology.me:8881/udp/233.50.200.185:5140$2160p
