河北联通-组播1,#genre#
慢直播8,http://60.4.29.46:8077/rtp/239.253.94.8:6607
慢直播9,http://60.4.29.46:8077/rtp/239.253.94.9:6608
慢直播10,http://60.4.29.46:8077/rtp/239.253.94.10:6609
慢直播11,http://60.4.29.46:8077/rtp/239.253.94.11:6610
慢直播12,http://60.4.29.46:8077/rtp/239.253.94.12:6611
慢直播13,http://60.4.29.46:8077/rtp/239.253.94.13:6612
慢直播14,http://60.4.29.46:8077/rtp/239.253.94.14:6613
慢直播15,http://60.4.29.46:8077/rtp/239.253.94.15:6614
慢直播16,http://60.4.29.46:8077/rtp/239.253.94.16:6615
慢直播17,http://60.4.29.46:8077/rtp/239.253.94.17:6616
慢直播18,http://60.4.29.46:8077/rtp/239.253.94.18:6617
慢直播19,http://60.4.29.46:8077/rtp/239.253.94.19:6618
慢直播20,http://60.4.29.46:8077/rtp/239.253.94.20:6619
慢直播21,http://60.4.29.46:8077/rtp/239.253.94.21:6620
慢直播22,http://60.4.29.46:8077/rtp/239.253.94.22:6621
慢直播23,http://60.4.29.46:8077/rtp/239.253.94.23:6622
慢直播24,http://60.4.29.46:8077/rtp/239.253.94.24:6623
慢直播25,http://60.4.29.46:8077/rtp/239.253.94.25:6624
慢直播26,http://60.4.29.46:8077/rtp/239.253.94.26:6625
河北联通-组播2,#genre#
BRTV卡酷少儿,http://121.17.69.138:8081/rtp/239.253.92.162:8054
BRTV纪实科教,http://121.17.69.138:8081/rtp/239.253.93.190:6358
CCTV-1 综合,http://121.17.69.138:8081/rtp/239.253.92.83:8012
CCTV-1 综合,http://121.17.69.138:8081/rtp/239.253.92.104:6221
CCTV-2 财经,http://121.17.69.138:8081/rtp/239.253.92.190:6065
CCTV-3 综艺,http://121.17.69.138:8081/rtp/239.253.92.191:6057
CCTV-4 中文国际,http://121.17.69.138:8081/rtp/239.253.92.251:6141
CCTV-4 欧洲,http://121.17.69.138:8081/rtp/239.253.93.192:6370
CCTV-4 美洲,http://121.17.69.138:8081/rtp/239.253.93.193:6371
CCTV-5 体育 ,http://121.17.69.138:8081/rtp/239.253.92.181:6046
CCTV-5+ 体育赛事,http://121.17.69.138:8081/rtp/239.253.92.82:8013
CCTV-6 电影,http://121.17.69.138:8081/rtp/239.253.92.193:6058
CCTV-7 国防军事,http://121.17.69.138:8081/rtp/239.253.92.194:6059
CCTV-8 电视剧,http://121.17.69.138:8081/rtp/239.253.92.195:6060
