重庆联通-组播1,#genre#
山东教育,http://58.17.134.3:8001/rtp/225.0.4.183:7980$1080p
山西卫视,http://58.17.134.3:8001/rtp/225.0.4.37:7980$576p
广东卫视,http://58.17.134.3:8001/rtp/225.0.4.33:7980$576p
广东卫视,http://58.17.134.3:8001/rtp/225.0.4.84:7980$1080p
广西卫视,http://58.17.134.3:8001/rtp/225.0.4.34:7980$576p
新疆卫视,http://58.17.134.3:8001/rtp/225.0.4.43:7980$576p
新疆卫视,http://58.17.134.3:8001/rtp/225.0.4.60:7980
江苏卫视,http://58.17.134.3:8001/rtp/225.0.4.15:7980$576p
江苏卫视,http://58.17.134.3:8001/rtp/225.0.4.79:7980$1080p
江西卫视,http://58.17.134.3:8001/rtp/225.0.4.203:7980$1080p
江西卫视,http://58.17.134.3:8001/rtp/225.0.4.25:7980$576p
河北卫视,http://58.17.134.3:8001/rtp/225.0.4.174:7980$1080p
河北卫视,http://58.17.134.3:8001/rtp/225.0.4.32:7980$576p
河南卫视,http://58.17.134.3:8001/rtp/225.0.4.124:7980$1080p
河南卫视,http://58.17.134.3:8001/rtp/225.0.4.22:7980$576p
浙江卫视,http://58.17.134.3:8001/rtp/225.0.4.14:7980$576p
浙江卫视,http://58.17.134.3:8001/rtp/225.0.4.81:7980$1080p
海南卫视,http://58.17.134.3:8001/rtp/225.0.4.40:7980$576p
深圳卫视,http://58.17.134.3:8001/rtp/225.0.4.202:7980
深圳卫视,http://58.17.134.3:8001/rtp/225.0.4.27:7980$576p
湖北卫视,http://58.17.134.3:8001/rtp/225.0.4.28:7980$576p
湖南卫视,http://58.17.134.3:8001/rtp/225.0.4.13:7980$576p
湖南卫视,http://58.17.134.3:8001/rtp/225.0.4.75:7980$1080p
甘肃卫视,http://58.17.134.3:8001/rtp/225.0.4.181:7980$1080p
甘肃卫视,http://58.17.134.3:8001/rtp/225.0.4.44:7980$576p
西藏卫视,http://58.17.134.3:8001/rtp/225.0.4.42:7980$576p
西藏卫视,http://58.17.134.3:8001/rtp/225.0.4.67:7980
贵州卫视,http://58.17.134.3:8001/rtp/225.0.4.175:7980$1080p
贵州卫视,http://58.17.134.3:8001/rtp/225.0.4.26:7980$576p
辽宁卫视,http://58.17.134.3:8001/rtp/225.0.4.19:7980$576p
辽宁卫视,http://58.17.134.3:8001/rtp/225.0.4.98:7980
陕西卫视,http://58.17.134.3:8001/rtp/225.0.4.244:7980$1080p
陕西卫视,http://58.17.134.3:8001/rtp/225.0.4.36:7980$576p
青海卫视,http://58.17.134.3:8001/rtp/225.0.4.39:7980$576p
黑龙江卫视,http://58.17.134.3:8001/rtp/225.0.4.201:7980$1080p
黑龙江卫视,http://58.17.134.3:8001/rtp/225.0.4.23:7980$576p
乐游,http://58.17.134.3:8001/rtp/225.0.4.242:7980$1080p
动漫秀场,http://58.17.134.3:8001/rtp/225.0.4.236:7980$1080p
游戏风云,http://58.17.134.3:8001/rtp/225.0.4.237:7980$1080p
生活时尚,http://58.17.134.3:8001/rtp/225.0.4.241:7980$1080p
都市剧场,http://58.17.134.3:8001/rtp/225.0.4.235:7980$1080p
金色学堂,http://58.17.134.3:8001/rtp/225.0.4.239:7980$1080p
嘉佳卡通,http://58.17.134.3:8001/rtp/225.0.4.221:7980
快乐垂钓,http://58.17.134.3:8001/rtp/225.0.4.213:7980
求索纪录,http://58.17.134.3:8001/rtp/225.0.4.232:7980$1080p
法治天地,http://58.17.134.3:8001/rtp/225.0.4.240:7980$1080p
电影,http://58.17.134.3:8001/rtp/225.0.4.166:7980$1080p
