广东电信-组播1,#genre#
深圳电视剧,http://183.36.240.113:9901/udp/239.77.1.177:5146
深圳电视剧,http://183.36.240.113:9901/udp/239.77.1.7:5146
深圳移动电视,http://183.36.240.113:9901/udp/239.77.1.175:5146
深圳都市,http://183.36.240.113:9901/udp/239.77.1.124:5146
深圳都市,http://183.36.240.113:9901/udp/239.77.1.176:5146
深圳都市,http://183.36.240.113:9901/udp/239.77.1.34:5146
深圳龙岗,http://183.36.240.113:9901/udp/239.77.1.223:5146
深圳宝安,http://183.36.240.113:9901/udp/239.77.1.206:5146
深圳宝安,http://183.36.240.113:9901/udp/239.77.1.67:5146
东莞新闻综合,http://183.36.240.113:9901/udp/239.253.43.102:5146
东莞新闻综合,http://183.36.240.113:9901/udp/239.253.43.104:5146
东莞生活资讯,http://183.36.240.113:9901/udp/239.253.43.103:5146
东莞生活资讯,http://183.36.240.113:9901/udp/239.253.43.105:5146$1080p
中山综合,http://183.36.240.113:9901/udp/239.253.43.59:5146
中山综合,http://183.36.240.113:9901/udp/239.253.43.62:5146$480p
中山综合,http://183.36.240.113:9901/udp/239.77.0.185:5146$1080p
云浮综合,http://183.36.240.113:9901/udp/239.253.43.195:5146
云浮综合,http://183.36.240.113:9901/udp/239.77.0.253:5146$1080p
佛山综合,http://183.36.240.113:9901/udp/239.253.43.52:5146
佛山综合,http://183.36.240.113:9901/udp/239.253.43.57:5146
佛山公共,http://183.36.240.113:9901/udp/239.253.43.48:5146
佛山公共,http://183.36.240.113:9901/udp/239.253.43.53:5146
佛山南海,http://183.36.240.113:9901/udp/239.253.43.49:5146
佛山南海,http://183.36.240.113:9901/udp/239.253.43.54:5146
佛山南海,http://183.36.240.113:9901/udp/239.77.0.236:5146$576p
佛山顺德,http://183.36.240.113:9901/udp/239.253.43.50:5146
佛山顺德,http://183.36.240.113:9901/udp/239.253.43.55:5146
徐闻综合,http://183.36.240.113:9901/udp/239.253.43.112:5146
惠州新闻综合,http://183.36.240.113:9901/udp/239.77.0.247:5146
惠州新闻综合,http://183.36.240.113:9901/udp/239.77.1.154:5146
惠州新闻综合,http://183.36.240.113:9901/udp/239.77.1.232:5146
惠州都市生活,http://183.36.240.113:9901/udp/239.77.0.248:5146
惠州都市生活,http://183.36.240.113:9901/udp/239.77.1.173:5146
惠州都市生活,http://183.36.240.113:9901/udp/239.77.1.233:5146
揭阳综合,http://183.36.240.113:9901/udp/239.77.0.157:5146
揭阳综合,http://183.36.240.113:9901/udp/239.77.0.229:5146$1080p
梅州综合,http://183.36.240.113:9901/rtp/239.253.43.123:5146
梅州客家生活,http://183.36.240.113:9901/udp/239.253.43.124:5146
汕头综合,http://183.36.240.113:9901/udp/239.253.43.30:5146
汕头综合,http://183.36.240.113:9901/udp/239.253.43.45:5146
汕头综合,http://183.36.240.113:9901/udp/239.77.1.130:5146
汕头经济生活,http://183.36.240.113:9901/udp/239.253.43.43:5146
汕头经济生活,http://183.36.240.113:9901/udp/239.253.43.46:5146$1080p
汕头经济生活,http://183.36.240.113:9901/udp/239.77.1.131:5146
汕尾综合,http://183.36.240.113:9901/udp/239.77.0.25:5146$1080p
汕尾综合,http://183.36.240.113:9901/udp/239.77.1.189:5146
江门综合,http://183.36.240.113:9901/udp/239.77.0.201:5146$1080p
江门综合,http://183.36.240.113:9901/udp/239.77.0.195:5146
河源综合,http://183.36.240.113:9901/udp/239.253.43.213:5146$480p
河源综合,http://183.36.240.113:9901/udp/239.253.43.215:5146
河源生活,http://183.36.240.113:9901/udp/239.253.43.214:5146
河源生活,http://183.36.240.113:9901/udp/239.253.43.216:5146
清远新闻综合,http://183.36.240.113:9901/udp/239.253.43.31:5146
清远新闻综合,http://183.36.240.113:9901/udp/239.253.43.33:5146$1080p
湛江新闻综合,http://183.36.240.113:9901/udp/239.77.0.120:5146
湛江新闻综合,http://183.36.240.113:9901/udp/239.77.0.141:5146$1080p
潮州民生,http://183.36.240.113:9901/udp/239.253.43.75:5146$1080p
珠海新闻综合,http://183.36.240.113:9901/udp/239.77.0.155:5146$1080p
珠海新闻综合,http://183.36.240.113:9901/udp/239.77.1.230:5146
肇庆综合,http://183.36.240.113:9901/udp/239.253.43.1:5146
肇庆综合,http://183.36.240.113:9901/udp/239.253.43.3:5146
茂名综合,http://183.36.240.113:9901/udp/239.77.0.204:5146
茂名综合,http://183.36.240.113:9901/udp/239.77.0.206:5146$1080p
阳江综合,http://183.36.240.113:9901/udp/239.253.43.82:5146$1080p
韶关新闻综合,http://183.36.240.113:9901/udp/239.77.0.116:5146
韶关新闻综合,http://183.36.240.113:9901/udp/239.77.0.117:5146$1080p

书画,http://183.36.240.113:9901/udp/239.77.1.115:5146
优漫卡通,http://183.36.240.113:9901/udp/239.77.0.222:5146$576p
优漫卡通,http://183.36.240.113:9901/udp/239.77.1.79:5146
华数,http://183.36.240.113:9901/udp/239.77.0.103:5146$1080p
华数,http://183.36.240.113:9901/udp/239.77.1.90:5146
华数1,http://183.36.240.113:9901/udp/239.77.1.89:5146
华数2,http://183.36.240.113:9901/udp/239.77.1.88:5146
华数3,http://183.36.240.113:9901/udp/239.77.1.83:5146
华数4,http://183.36.240.113:9901/udp/239.77.1.82:5146
华数5,http://183.36.240.113:9901/udp/239.77.1.138:5146
华数6,http://183.36.240.113:9901/udp/239.77.0.109:5146$1080p
华数7,http://183.36.240.113:9901/udp/239.77.0.110:5146$1080p
华数8,http://183.36.240.113:9901/udp/239.77.0.105:5146$1080p
国学频道,http://183.36.240.113:9901/udp/239.77.0.226:5146$576p
国学频道,http://183.36.240.113:9901/udp/239.77.1.105:5146
天元围棋,http://183.36.240.113:9901/udp/239.253.43.98:5146$1080p
