河南电信-组播1,#genre#
河南都市,http://1.192.242.239:8188/rtp/239.16.20.164:11640
文物宝库,http://1.192.242.239:8188/rtp/239.16.10.149:2000$1080p
文物宝库,http://1.192.242.239:8188/rtp/239.16.20.172:11720
梨园频道,http://1.192.242.239:8188/rtp/239.16.10.148:2000$1080p
梨园频道,http://1.192.242.239:8188/rtp/239.16.20.171:11710
武术世界,http://1.192.242.239:8188/rtp/239.16.10.150:2000$1080p
武术世界,http://1.192.242.239:8188/rtp/239.16.20.173:11730
健康河南,http://1.192.242.239:8188/rtp/239.16.20.239:12390
健康河南,http://1.192.242.239:8188/rtp/239.16.20.52:10520
健康河南,http://1.192.242.239:8188/rtp/239.16.10.131:2000$1080p
三门峡新闻综合,http://1.192.242.239:8188/rtp/239.16.20.145:11450
上蔡综合,http://1.192.242.239:8188/rtp/239.16.10.97:2000$576p
临颍综合,http://1.192.242.239:8188/rtp/239.16.10.180:2000$1080p
义马综合,http://1.192.242.239:8188/rtp/239.16.20.109:11090
义马综合,http://1.192.242.239:8188/rtp/239.16.20.236:12360
信阳新闻综合,http://1.192.242.239:8188/rtp/239.16.10.52:2000$1080p
信阳文旅,http://1.192.242.239:8188/rtp/239.16.10.71:2000$1080p
信阳平桥,http://1.192.242.239:8188/rtp/239.16.10.73:2000$576p
信阳浉河,http://1.192.242.239:8188/rtp/239.16.10.72:2000$576p
光山综合,http://1.192.242.239:8188/rtp/239.16.10.94:2000$576p
内黄综合,http://1.192.242.239:8188/rtp/239.16.20.228:12280
南阳新闻综合,http://1.192.242.239:8188/rtp/239.16.10.58:2000$1080p
南阳公共,http://1.192.242.239:8188/rtp/239.16.10.165:2000$1080p
南阳科教,http://1.192.242.239:8188/rtp/239.16.10.164:2000$1080p
卢氏综合,http://1.192.242.239:8188/rtp/239.16.20.240:12400
卫辉综合,http://1.192.242.239:8188/rtp/239.16.20.191:11910
原阳综合,http://1.192.242.239:8188/rtp/239.16.20.208:12080
叶县综合,http://1.192.242.239:8188/rtp/239.16.20.136:11360
叶县综合,http://1.192.242.239:8188/rtp/239.16.20.32:10320
周口新闻综合,http://1.192.242.239:8188/rtp/239.16.10.59:2000$1080p
周口公共,http://1.192.242.239:8188/rtp/239.16.10.172:2000$1080p
周口教育,http://1.192.242.239:8188/rtp/239.16.10.173:2000$1080p
唐河综合,http://1.192.242.239:8188/rtp/239.16.10.95:2000$576p
商丘新闻综合,http://1.192.242.239:8188/rtp/239.16.10.153:2000$576p
商丘公共,http://1.192.242.239:8188/rtp/239.16.10.168:2000$576p
商丘文体科教,http://1.192.242.239:8188/rtp/239.16.10.169:2000$576p
太康综合,http://1.192.242.239:8188/rtp/239.16.10.147:2000$1080p
孟津综合,http://1.192.242.239:8188/rtp/239.16.20.192:11920
安阳新闻综合,http://1.192.242.239:8188/rtp/239.16.20.144:11440
安阳文旅,http://1.192.242.239:8188/rtp/239.16.20.193:11930
宜阳综合,http://1.192.242.239:8188/rtp/239.16.20.206:12060
宝丰综合,http://1.192.242.239:8188/rtp/239.16.20.209:12090
宝丰综合,http://1.192.242.239:8188/rtp/239.16.20.63:10630
封丘新闻综合,http://1.192.242.239:8188/rtp/239.16.20.19:10190
嵩县综合,http://1.192.242.239:8188/rtp/239.16.20.234:12340
巩义综合,http://1.192.242.239:8188/rtp/239.16.10.33:2000$1080p
巩义综合,http://1.192.242.239:8188/rtp/239.16.20.43:10430
平煤安全环保,http://1.192.242.239:8188/rtp/239.16.20.244:12440
平煤安全环保,http://1.192.242.239:8188/rtp/239.16.20.31:10310
平煤综合,http://1.192.242.239:8188/rtp/239.16.20.241:12410
平煤综合,http://1.192.242.239:8188/rtp/239.16.20.30:10300
平顶山新闻综合,http://1.192.242.239:8188/rtp/239.16.20.137:11370
平顶山公共,http://1.192.242.239:8188/rtp/239.16.20.152:11520
平顶山城市,http://1.192.242.239:8188/rtp/239.16.20.151:11510
平顶山教育,http://1.192.242.239:8188/rtp/239.16.20.27:10270
延津综合,http://1.192.242.239:8188/rtp/239.16.20.210:12100
开封文化旅游,http://1.192.242.239:8188/rtp/239.16.10.177:2000$1080p
开封新闻综合,http://1.192.242.239:8188/rtp/239.16.10.57:2000$1080p
新乡公共,http://1.192.242.239:8188/rtp/239.16.20.154:11540
