天津联通-组播1,#genre#
海南卫视,http://125.37.57.47:8788/udp/225.1.2.82:5002$1080p
深圳卫视,http://125.37.57.47:8788/udp/225.1.1.117:5002$1080p
深圳卫视,http://125.37.57.47:8788/udp/225.1.1.43:5002$576p
湖北卫视,http://125.37.57.47:8788/udp/225.1.1.147:5002$1080p
湖北卫视,http://125.37.57.47:8788/udp/225.1.1.36:5002$576p
湖南卫视,http://125.37.57.47:8788/udp/225.1.1.114:5002$1080p
湖南卫视,http://125.37.57.47:8788/udp/225.1.1.34:5002$576p
甘肃卫视,http://125.37.57.47:8788/udp/225.1.1.159:5002$1080p
甘肃卫视,http://125.37.57.47:8788/udp/225.1.1.30:5002$576p
西藏卫视,http://125.37.57.47:8788/udp/225.1.1.167:5002$1080p
贵州卫视,http://125.37.57.47:8788/udp/225.1.1.63:5002$576p
贵州卫视,http://125.37.57.47:8788/udp/225.1.2.28:5002$1080p
辽宁卫视,http://125.37.57.47:8788/udp/225.1.1.154:5002$1080p
辽宁卫视,http://125.37.57.47:8788/udp/225.1.1.40:5002$576p
重庆卫视,http://125.37.57.47:8788/udp/225.1.1.155:5002$1080p
重庆卫视,http://125.37.57.47:8788/udp/225.1.1.60:5002$576p
陕西卫视,http://125.37.57.47:8788/udp/225.1.1.41:5002$576p
青海卫视,http://125.37.57.47:8788/udp/225.1.1.251:5002$1080p
青海卫视,http://125.37.57.47:8788/udp/225.1.1.54:5002$576p
黑龙江卫视,http://125.37.57.47:8788/udp/225.1.1.115:5002$1080p

BRTV卡酷少儿,http://125.37.57.47:8788/udp/225.1.1.58:5002$576p
BRTV纪实科教,http://125.37.57.47:8788/udp/225.1.2.251:5002$1080p
BRTV纪实科教,http://125.37.57.47:8788/udp/225.1.2.253:5002$1080p
BRTV纪实科教,http://125.37.57.47:8788/udp/225.1.2.30:5002$1080p
中华特产,http://125.37.57.47:8788/udp/225.1.2.248:5002$1080p
中华美食,http://125.37.57.47:8788/udp/225.1.1.77:5002$1080p
中国交通,http://125.37.57.47:8788/udp/225.1.2.57:5002$1080p
中国天气,http://125.37.57.47:8788/udp/225.1.2.120:5002$1080p
东方财经,http://125.37.57.47:8788/udp/225.1.1.247:5002$1080p
乐游,http://125.37.57.47:8788/udp/225.1.1.145:5002$1080p
乐游,http://125.37.57.47:8788/udp/225.1.1.74:5002$576p
书画,http://125.37.57.47:8788/udp/225.1.2.22:5002$576p
优优宝贝,http://125.37.57.47:8788/udp/225.1.2.203:5002$576p
动漫秀场,http://125.37.57.47:8788/udp/225.1.1.134:5002$1080p
动漫秀场,http://125.37.57.47:8788/udp/225.1.1.67:5002$576p
四海钓鱼,http://125.37.57.47:8788/udp/225.1.2.117:5002$1080p
FTV足球,http://125.37.57.47:8788/udp/225.1.1.105:5002$576p
导播,http://125.37.57.47:8788/udp/225.1.1.78:5002$576p
导播,http://125.37.57.47:8788/udp/225.1.1.79:5002$1080p
山东教育,http://125.37.57.47:8788/udp/225.1.1.152:5002$1080p
快乐垂钓,http://125.37.57.47:8788/udp/225.1.2.18:5002$1080p
快乐垂钓,http://125.37.57.47:8788/udp/225.1.2.20:5002$576p
快乐购,http://125.37.57.47:8788/udp/225.1.2.24:5002$576p
文物宝库,http://125.37.57.47:8788/udp/225.1.2.105:5002$1080p
新动漫,http://125.37.57.47:8788/udp/225.1.1.216:5002$576p
梨园频道,http://125.37.57.47:8788/udp/225.1.2.104:5002$1080p
