山东联通-组播1,#genre#
崂山综合,http://39.77.161.85:4002/udp/239.253.254.242:8000
平度综合,http://39.77.161.85:4002/udp/239.253.254.248:8000
黄岛综合,http://39.77.161.85:4002/udp/239.253.254.243:8000
黄岛生活,http://39.77.161.85:4002/udp/239.253.254.244:8000
莱西综合,http://39.77.161.85:4002/udp/239.253.254.247:8000
即墨综合,http://39.77.161.85:4002/udp/239.253.254.245:8000
胶州综合,http://39.77.161.85:4002/udp/239.253.254.246:8000
东方财经,http://39.77.161.85:4002/udp/239.253.254.94:8000
中华特产,http://39.77.161.85:4002/udp/239.253.254.76:8000
乐游,http://39.77.161.85:4002/udp/239.253.254.97:8000
书画,http://39.77.161.85:4002/udp/239.253.254.146:8000
优优宝贝,http://39.77.161.85:4002/udp/239.253.254.72:8000
优漫卡通,http://39.77.161.85:4002/udp/239.253.254.64:8000
优购物,http://39.77.161.85:4002/udp/239.253.254.174:8000
动漫秀场,http://39.77.161.85:4002/udp/239.253.254.115:8000
嘉佳卡通,http://39.77.161.85:4002/udp/239.253.254.65:8000
四海钓鱼,http://39.77.161.85:4002/udp/239.253.254.118:8000
快乐垂钓,http://39.77.161.85:4002/udp/239.253.254.144:8000
文物宝库,http://39.77.161.85:4002/udp/239.253.254.141:8000
新动漫,http://39.77.161.85:4002/udp/239.253.254.149:8000
新动漫,http://39.77.161.85:4002/udp/239.253.254.157:8000
梨园频道,http://39.77.161.85:4002/udp/239.253.254.139:8000
武术世界,http://39.77.161.85:4002/udp/239.253.254.140:8000
求索纪录,http://39.77.161.85:4002/udp/239.253.254.231:8000
法治天地,http://39.77.161.85:4002/udp/239.253.254.96:8000
海洋频道,http://39.77.161.85:4002/udp/239.253.254.67:8000
游戏风云,http://39.77.161.85:4002/udp/239.253.254.95:8000
环球旅游,http://39.77.161.85:4002/udp/239.253.254.71:8000
生态环境,http://39.77.161.85:4002/udp/239.253.254.119:8000
生态环境,http://39.77.161.85:4002/udp/239.253.254.75:8000
生活时尚,http://39.77.161.85:4002/udp/239.253.254.99:8000
精彩影视,http://39.77.161.85:4002/udp/239.253.254.142:8000
都市剧场,http://39.77.161.85:4002/udp/239.253.254.98:8000
重庆汽摩,http://39.77.161.85:4002/udp/239.253.254.161:8000
重温经典影视,http://39.77.161.85:4002/udp/239.253.254.81:8000
金色学堂,http://39.77.161.85:4002/udp/239.253.254.101:8000
金鹰卡通,http://39.77.161.85:4002/udp/239.253.254.117:8000
金鹰卡通,http://39.77.161.85:4002/udp/239.253.254.134:8000
金鹰纪实,http://39.77.161.85:4002/udp/239.253.254.103:8000
华数,http://39.77.161.85:4002/udp/239.253.254.126:8000
华数1,http://39.77.161.85:4002/udp/239.253.254.125:8000
华数2,http://39.77.161.85:4002/udp/239.253.254.127:8000
华数3,http://39.77.161.85:4002/udp/239.253.254.128:8000
华数4,http://39.77.161.85:4002/udp/239.253.254.130:8000
华数5,http://39.77.161.85:4002/udp/239.253.254.132:8000
华数6,http://39.77.161.85:4002/udp/239.253.254.135:8000
华数7,http://39.77.161.85:4002/udp/239.253.254.201:8000
华数8,http://39.77.161.85:4002/udp/239.253.254.203:8000
华数9,http://39.77.161.85:4002/udp/239.253.254.205:8000
华数10,http://39.77.161.85:4002/udp/239.253.254.210:8000
华数11,http://39.77.161.85:4002/udp/239.253.254.212:8000
华数12,http://39.77.161.85:4002/udp/239.253.254.216:8000
华数13,http://39.77.161.85:4002/udp/239.253.254.221:8000
华数14,http://39.77.161.85:4002/udp/239.253.254.223:8000
华数15,http://39.77.161.85:4002/udp/239.253.254.229:8000
央视网CCTV-1 综合,http://39.77.161.85:4002/udp/239.253.254.213:8000
央视网CCTV-1 综合,http://39.77.161.85:4002/udp/239.253.254.215:8000
央视网CCTV-1 综合,http://39.77.161.85:4002/udp/239.253.254.219:8000
央视网CCTV-1 综合,http://39.77.161.85:4002/udp/239.253.254.222:8000
央视网CCTV-1 综合,http://39.77.161.85:4002/udp/239.253.254.228:8000
央视网CCTV-2 财经,http://39.77.161.85:4002/udp/239.253.254.225:8000
央视网CCTV-3 综艺,http://39.77.161.85:4002/udp/239.253.254.124:8000
央视网CCTV-3 综艺,http://39.77.161.85:4002/udp/239.253.254.129:8000
