内蒙古联通-组播1,#genre#
内蒙古文体娱乐,http://124.67.68.139:4022/udp/239.125.1.72:4120
内蒙古新闻综合,http://124.67.68.139:4022/udp/239.125.1.63:5000
内蒙古新闻综合,http://124.67.68.139:4022/udp/239.125.1.70:4120
内蒙古经济生活,http://124.67.68.139:4022/udp/239.125.1.64:5000
内蒙古经济生活,http://124.67.68.139:4022/udp/239.125.1.74:4120
内蒙古蒙古语卫视,http://124.67.68.139:4022/udp/239.125.1.65:5000
内蒙古蒙古语卫视,http://124.67.68.139:4022/udp/239.125.1.66:5000
内蒙古蒙古语文化,http://124.67.68.139:4022/udp/239.125.1.67:5000
内蒙古蒙古语文化,http://124.67.68.139:4022/udp/239.125.1.71:4120
九屏共赏,http://124.67.68.139:4022/udp/239.125.2.215:4120
卫视收视排行,http://124.67.68.139:4022/udp/239.125.2.214:4120
卫视收视排行,http://124.67.68.139:4022/udp/239.125.2.217:4120
本地频道展示,http://124.67.68.139:4022/udp/239.125.2.216:4120
呼伦贝尔新闻综合,http://124.67.68.139:4022/udp/239.125.2.177:4166
呼伦贝尔文化旅游,http://124.67.68.139:4022/udp/239.125.2.178:4167
赤峰新闻综合,http://124.67.68.139:4022/udp/239.125.2.156:4145
赤峰经济服务,http://124.67.68.139:4022/udp/239.125.2.155:4144
赤峰影视娱乐,http://124.67.68.139:4022/udp/239.125.2.154:4143
鄂尔多斯新闻综合http://124.67.68.139:4022/udp/239.125.2.165:4154
鄂尔多斯蒙语综合,http://124.67.68.139:4022/udp/239.125.2.162:4151
乌海新闻综合,http://124.67.68.139:4022/udp/239.125.2.167:4156
乌海都市生活,http://124.67.68.139:4022/udp/239.125.2.166:4155
包头新闻综合,http://124.67.68.139:4022/udp/239.125.2.187:4400
包头生活服务,http://124.67.68.139:4022/udp/239.125.2.186:4400
锡林郭勒新闻综合,http://124.67.68.139:4022/udp/239.125.2.158:4147
锡林郭勒娱乐,http://124.67.68.139:4022/udp/239.125.2.157:4146
巴彦淖尔新闻综合,http://124.67.68.139:4022/udp/239.125.2.159:4148
巴彦淖尔经济生活,http://124.67.68.139:4022/udp/239.125.2.169:4158
巴彦淖尔影视娱乐,http://124.67.68.139:4022/udp/239.125.2.168:4157
通辽新闻综合,http://124.67.68.139:4022/udp/239.125.2.160:4149
通辽城市服务,http://124.67.68.139:4022/udp/239.125.2.159:4148
通辽蒙语,http://124.67.68.139:4022/udp/239.125.2.161:4150
乌兰察布新闻综合,http://124.67.68.139:4022/udp/239.125.2.174:4163
乌兰察布经济生活,http://124.67.68.139:4022/udp/239.125.2.173:4162
兴安盟新闻综合,http://124.67.68.139:4022/udp/239.125.2.153:4142
阿拉善新闻综合,http://124.67.68.139:4022/udp/239.125.2.149:4138
达茂新闻综合,http://124.67.68.139:4022/udp/239.125.2.50:4120
苏尼特右旗综合,http://124.67.68.139:4022/udp/239.125.2.181:4170
满洲里综合,http://124.67.68.139:4022/udp/234.1.3.116:5000
察右后旗综合,http://124.67.68.139:4022/udp/239.125.2.193:4120
库伦综合,http://124.67.68.139:4022/udp/239.125.2.15:4120
扎鲁特旗综合,http://124.67.68.139:4022/udp/239.125.1.222:4120
杭锦旗综合,http://124.67.68.139:4022/udp/239.125.2.212:4120
磴口综合,http://124.67.68.139:4022/udp/239.125.2.221:4120
鄂托克旗综合,http://124.67.68.139:4022/udp/239.125.1.212:4120
正蓝旗综合,http://124.67.68.139:4022/udp/239.125.1.114:4120
阿荣旗综合,http://124.67.68.139:4022/udp/239.125.1.213:4120
额尔古纳综合,http://124.67.68.139:4022/udp/239.125.2.195:4120
扎兰屯综合,http://124.67.68.139:4022/udp/239.125.2.211:4120
嘉佳卡通,http://124.67.68.139:4022/udp/239.125.2.213:4120
金鹰卡通,http://124.67.68.139:4022/udp/239.125.1.128:4130
金鹰纪实,http://124.67.68.139:4022/udp/239.125.2.106:4134
优购物,http://124.67.68.139:4022/udp/239.125.1.138:4130
优购物,http://124.67.68.139:4022/udp/239.125.1.220:4120
央广购物,http://124.67.68.139:4022/udp/239.125.2.14:4120
央广购物,http://124.67.68.139:4022/udp/239.125.2.220:4120
