陕西电信-组播1,#genre#
东方卫视,http://1.83.123.170:8888/rtp/239.112.205.61:5140
云南卫视,http://1.83.123.170:8888/rtp/239.109.205.215:9216
云南卫视,http://1.83.123.170:8888/rtp/239.110.205.15:9806
云南卫视,http://1.83.123.170:8888/rtp/239.111.205.106:5140
云南卫视,http://1.83.123.170:8888/rtp/239.112.205.58:5140
兵团卫视,http://1.83.123.170:8888/rtp/239.109.205.86:8624
兵团卫视,http://1.83.123.170:8888/rtp/239.110.205.92:7908
兵团卫视,http://1.83.123.170:8888/rtp/239.111.205.60:5140
兵团卫视,http://1.83.123.170:8888/rtp/239.112.205.198:5140
内蒙古卫视,http://1.83.123.170:8888/rtp/239.109.205.46:8304
内蒙古卫视,http://1.83.123.170:8888/rtp/239.112.205.55:5140
农林卫视,http://1.83.123.170:8888/rtp/239.110.205.88:7924
农林卫视,http://1.83.123.170:8888/rtp/239.112.205.26:5140
农林卫视,http://1.83.123.170:8888/rtp/239.112.205.27:5140
北京卫视,http://1.83.123.170:8888/rtp/239.109.205.162:8898
北京卫视,http://1.83.123.170:8888/rtp/239.109.205.20:8088
北京卫视,http://1.83.123.170:8888/rtp/239.112.205.32:5140
北京卫视,http://1.83.123.170:8888/rtp/239.112.205.65:5140
厦门卫视,http://1.83.123.170:8888/rtp/239.110.205.21:9830
厦门卫视,http://1.83.123.170:8888/rtp/239.112.205.60:5140
吉林卫视,http://1.83.123.170:8888/rtp/239.109.205.115:8856
吉林卫视,http://1.83.123.170:8888/rtp/239.109.205.35:8208
吉林卫视,http://1.83.123.170:8888/rtp/239.112.205.183:5140
吉林卫视,http://1.83.123.170:8888/rtp/239.112.205.45:5140
四川卫视,http://1.83.123.170:8888/rtp/239.109.205.31:8176
四川卫视,http://1.83.123.170:8888/rtp/239.110.205.18:9818
四川卫视,http://1.83.123.170:8888/rtp/239.112.205.184:5140
四川卫视,http://1.83.123.170:8888/rtp/239.112.205.38:5140
天津卫视,http://1.83.123.170:8888/rtp/239.109.205.33:8192
天津卫视,http://1.83.123.170:8888/rtp/239.110.205.23:9838
天津卫视,http://1.83.123.170:8888/rtp/239.112.205.41:5140
天津卫视,http://1.83.123.170:8888/rtp/239.112.205.74:5140
宁夏卫视,http://1.83.123.170:8888/rtp/239.109.205.126:8944
宁夏卫视,http://1.83.123.170:8888/rtp/239.110.205.93:7904
宁夏卫视,http://1.83.123.170:8888/rtp/239.110.205.94:7900
宁夏卫视,http://1.83.123.170:8888/rtp/239.111.205.61:5140
宁夏卫视,http://1.83.123.170:8888/rtp/239.112.205.49:5140
安徽卫视,http://1.83.123.170:8888/rtp/239.109.205.24:8120
安徽卫视,http://1.83.123.170:8888/rtp/239.110.205.11:9790
安徽卫视,http://1.83.123.170:8888/rtp/239.112.205.39:5140
安徽卫视,http://1.83.123.170:8888/rtp/239.112.205.72:5140
山东卫视,http://1.83.123.170:8888/rtp/239.109.205.191:9606
山东卫视,http://1.83.123.170:8888/rtp/239.109.205.25:8128
山东卫视,http://1.83.123.170:8888/rtp/239.112.205.37:5140
山东卫视,http://1.83.123.170:8888/rtp/239.112.205.70:5140
山西卫视,http://1.83.123.170:8888/rtp/239.109.205.26:8136
山西卫视,http://1.83.123.170:8888/rtp/239.111.205.39:5140
山西卫视,http://1.83.123.170:8888/rtp/239.112.205.46:5140
广东卫视,http://1.83.123.170:8888/rtp/239.109.205.188:9610
广东卫视,http://1.83.123.170:8888/rtp/239.109.205.38:8232
广东卫视,http://1.83.123.170:8888/rtp/239.112.205.33:5140
广东卫视,http://1.83.123.170:8888/rtp/239.112.205.66:5140
广西卫视,http://1.83.123.170:8888/rtp/239.109.205.39:8240
广西卫视,http://1.83.123.170:8888/rtp/239.111.205.14:5140
广西卫视,http://1.83.123.170:8888/rtp/239.112.205.51:5140
新疆卫视,http://1.83.123.170:8888/rtp/239.110.205.13:9798
新疆卫视,http://1.83.123.170:8888/rtp/239.110.205.95:7896
新疆卫视,http://1.83.123.170:8888/rtp/239.111.205.59:5140
新疆卫视,http://1.83.123.170:8888/rtp/239.112.205.56:5140
海南卫视,http://1.83.123.170:8888/rtp/239.109.205.41:8256
海南卫视,http://1.83.123.170:8888/rtp/239.112.205.50:5140
江苏卫视,http://1.83.123.170:8888/rtp/239.109.205.119:8368
江苏卫视,http://1.83.123.170:8888/rtp/239.109.205.22:8104
江苏卫视,http://1.83.123.170:8888/rtp/239.112.205.30:5140
江苏卫视,http://1.83.123.170:8888/rtp/239.112.205.63:5140
江西卫视,http://1.83.123.170:8888/rtp/239.109.205.29:8160
江西卫视,http://1.83.123.170:8888/rtp/239.109.205.96:8704
江西卫视,http://1.83.123.170:8888/rtp/239.111.205.16:5140
江西卫视,http://1.83.123.170:8888/rtp/239.112.205.44:5140
河北卫视,http://1.83.123.170:8888/rtp/239.109.205.158:9106
河北卫视,http://1.83.123.170:8888/rtp/239.110.205.14:9802
河北卫视,http://1.83.123.170:8888/rtp/239.112.205.200:5140
河北卫视,http://1.83.123.170:8888/rtp/239.112.205.57:5140
河南卫视,http://1.83.123.170:8888/rtp/239.109.205.140:9026
