北京移动-组播1,#genre#
CCTV-14 少儿,http://39.157.74.142:9926/rtp/228.1.1.31:8132
CCTV-15 音乐,http://39.157.74.142:9926/rtp/228.1.1.183:8136
CCTV-16 奥林匹克,http://39.157.74.142:9926/rtp/228.1.1.218:8002
CCTV-16 奥林匹克,http://39.157.74.142:9926/rtp/228.1.1.215:8002
CCTV-17 农业农村,http://39.157.74.142:9926/rtp/228.1.1.181:8144
CETV1,http://39.157.74.142:9926/rtp/228.1.1.32:8152
CETV2,http://39.157.74.142:9926/rtp/228.1.1.97:4120
CETV3,http://39.157.74.142:9926/rtp/228.1.1.98:4120
CETV4,http://39.157.74.142:9926/rtp/228.1.1.99:4120
CGTN纪录http://39.157.74.142:9926/rtp/228.1.1.205:4220
CGTN,http://39.157.74.142:9926/rtp/228.1.1.204:4220
CGTN西语,http://39.157.74.142:9926/rtp/228.1.1.206:4220
CGTN法语,http://39.157.74.142:9926/rtp/228.1.1.207:4220
CGTN俄语,http://39.157.74.142:9926/rtp/228.1.1.209:4220
CGTN阿语,http://39.157.74.142:9926/rtp/228.1.1.208:4220
湖南卫视4K,http://39.157.74.142:9926/rtp/228.1.1.40:3002
江苏卫视4K,http://39.157.74.142:9926/rtp/228.1.1.41:3002
东方卫视4K,http://39.157.74.142:9926/rtp/228.1.1.43:3006
浙江卫视4K,http://39.157.74.142:9926/rtp/228.1.1.45:3004
山东卫视4K,http://39.157.74.142:9926/rtp/228.1.1.46:3006
四川卫视4K,http://39.157.74.142:9926/rtp/228.1.1.47:3000
北京卫视4K,http://39.157.74.142:9926/rtp/228.1.1.234:8002
北京卫视4K,http://39.157.74.142:9926/rtp/228.1.1.235:8002
安徽卫视,http://39.157.74.142:9926/rtp/228.1.1.21:8064
北京卫视,http://39.157.74.142:9926/rtp/228.1.1.115:8000
兵团卫视,http://39.157.74.142:9926/rtp/228.1.1.177:4120
重庆卫视,http://39.157.74.142:9926/rtp/228.1.1.210:8160
东方卫视,http://39.157.74.142:9926/rtp/228.1.1.39:8032
东南卫视,http://39.157.74.142:9926/rtp/228.1.1.185:8148
甘肃卫视,http://39.157.74.142:9926/rtp/228.1.1.61:8188
广东卫视,http://39.157.74.142:9926/rtp/228.1.1.17:8048
广西卫视,http://39.157.74.142:9926/rtp/228.1.1.80:8300
贵州卫视,http://39.157.74.142:9926/rtp/228.1.1.188:8076
海南卫视,http://39.157.74.142:9926/rtp/228.1.1.81:8304
河北卫视,http://39.157.74.142:9926/rtp/228.1.1.187:8072
河南卫视,http://39.157.74.142:9926/rtp/228.1.1.50:8128
黑龙江卫视,http://39.157.74.142:9926/rtp/228.1.1.35:8016
湖北卫视,http://39.157.74.142:9926/rtp/228.1.1.16:8044
湖南卫视,http://39.157.74.142:9926/rtp/228.1.1.33:8012
吉林卫视,http://39.157.74.142:9926/rtp/228.1.1.214:8172
江苏卫视,http://39.157.74.142:9926/rtp/228.1.1.37:8028
江西卫视,http://39.157.74.142:9926/rtp/228.1.1.211:8164
辽宁卫视,http://39.157.74.142:9926/rtp/228.1.1.19:8056
内蒙古卫视,http://39.157.74.142:9926/rtp/228.1.1.59:8176
宁夏卫视,http://39.157.74.142:9926/rtp/228.1.1.49:8124
青海卫视,http://39.157.74.142:9926/rtp/228.1.1.60:8184
三沙卫视,http://39.157.74.142:9926/rtp/228.1.1.186:4120
厦门卫视,http://39.157.74.142:9926/rtp/228.1.1.176:4120
山东卫视,http://39.157.74.142:9926/rtp/228.1.1.18:8052
山西卫视,http://39.157.74.142:9926/rtp/228.1.1.58:8172
陕西卫视,http://39.157.74.142:9926/rtp/228.1.1.53:8140
深圳卫视,http://39.157.74.142:9926/rtp/228.1.1.36:8020
四川卫视,http://39.157.74.142:9926/rtp/228.1.1.77:8288
天津卫视,http://39.157.74.142:9926/rtp/228.1.1.15:1234
西藏卫视,http://39.157.74.142:9926/rtp/228.1.1.57:8164
