河南联通-组播1,#genre#
北京卫视,http://123.10.78.181:40000/rtp/225.1.4.81:1110
东方卫视,http://123.10.78.181:40000/rtp/225.1.4.85:1114
天津卫视,http://123.10.78.181:40000/rtp/225.1.4.86:1115
山东卫视,http://123.10.78.181:40000/rtp/225.1.4.88:1117
安徽卫视,http://123.10.78.181:40000/rtp/225.1.4.87:1116
深圳卫视,http://123.10.78.181:40000/rtp/225.1.4.90:1119
江西卫视,http://123.10.78.181:40000/rtp/225.1.4.139:1305
湖北卫视,http://123.10.78.181:40000/rtp/225.1.4.89:1118
四川卫视,http://123.10.78.181:40000/rtp/225.1.4.151:1306
黑龙江卫视,http://123.10.78.181:40000/rtp/225.1.4.91:1120
云南卫视,http://123.10.78.181:40000/rtp/225.1.4.152:1307
贵州卫视,http://123.10.78.181:40000/rtp/225.1.4.122:1302
辽宁卫视,http://123.10.78.181:40000/rtp/225.1.4.167:1208
东南卫视,http://123.10.78.181:40000/rtp/225.1.4.228:1274
重庆卫视,http://123.10.78.181:40000/rtp/225.1.4.157:1308
广东卫视,http://123.10.78.181:40000/rtp/225.1.4.166:1207
广西卫视,http://123.10.78.181:40000/rtp/225.1.4.31:1060
河北卫视,http://123.10.78.181:40000/rtp/225.1.4.123:1304
海南卫视,http://123.10.78.181:40000/rtp/225.1.4.25:1054
吉林卫视,http://123.10.78.181:40000/rtp/225.1.4.174:1309
山西卫视,http://123.10.78.181:40000/rtp/225.1.4.38:1067
陕西卫视,http://123.10.78.181:40000/rtp/225.1.4.39:1068
甘肃卫视,http://123.10.78.181:40000/rtp/225.1.4.42:1071
宁夏卫视,http://123.10.78.181:40000/rtp/225.1.4.43:1072
青海卫视,http://123.10.78.181:40000/rtp/225.1.4.44:1073
内蒙古卫视,http://123.10.78.181:40000/rtp/225.1.4.45:1074
西藏卫视,http://123.10.78.181:40000/rtp/225.1.4.46:1075
新疆卫视,http://123.10.78.181:40000/rtp/225.1.4.47:1076
厦门卫视,http://123.10.78.181:40000/rtp/225.1.4.95:1124
