湖南电信-组播1,#genre#
广东卫视,http://113.221.59.169:4000/rtp/239.76.252.92:9000$576p
广西卫视,http://113.221.59.169:4000/rtp/239.76.252.94:9000$576p
广西卫视,http://113.221.59.169:4000/rtp/239.76.254.54:9000
康巴卫视,http://113.221.59.169:4000/rtp/239.76.246.89:1234$576p
康巴卫视,http://113.221.59.169:4000/rtp/239.76.253.89:9000$576p
延边卫视,http://113.221.59.169:4000/rtp/239.76.254.112:9000
新疆卫视,http://113.221.59.169:4000/rtp/239.76.245.109:1234$1080p
新疆卫视,http://113.221.59.169:4000/rtp/239.76.252.109:9000$1080p
江苏卫视,http://113.221.59.169:4000/rtp/239.76.246.181:1234$1080p
江苏卫视,http://113.221.59.169:4000/rtp/239.76.252.81:9000$576p
江苏卫视,http://113.221.59.169:4000/rtp/239.76.253.181:9000$1080p
江西卫视,http://113.221.59.169:4000/rtp/239.76.245.225:1234$1080p
江西卫视,http://113.221.59.169:4000/rtp/239.76.252.225:9000$1080p
江西卫视,http://113.221.59.169:4000/rtp/239.76.252.87:9000$576p
河北卫视,http://113.221.59.169:4000/rtp/239.76.245.199:1234$1080p
河北卫视,http://113.221.59.169:4000/rtp/239.76.252.102:9000$576p
河北卫视,http://113.221.59.169:4000/rtp/239.76.252.199:9000$1080p
河南卫视,http://113.221.59.169:4000/rtp/239.76.246.202:1234$1080p
河南卫视,http://113.221.59.169:4000/rtp/239.76.252.99:9000$576p
河南卫视,http://113.221.59.169:4000/rtp/239.76.253.202:9000$1080p
法治天地,http://113.221.59.169:4000/rtp/239.76.254.67:9000
浙江卫视,http://113.221.59.169:4000/rtp/239.76.246.182:1234$1080p
浙江卫视,http://113.221.59.169:4000/rtp/239.76.252.82:9000$576p
浙江卫视,http://113.221.59.169:4000/rtp/239.76.253.182:9000$1080p
海南卫视,http://113.221.59.169:4000/rtp/239.76.246.203:1234$1080p
海南卫视,http://113.221.59.169:4000/rtp/239.76.252.91:9000$576p
海南卫视,http://113.221.59.169:4000/rtp/239.76.253.203:9000$1080p
深圳卫视,http://113.221.59.169:4000/rtp/239.76.246.188:1234$1080p
深圳卫视,http://113.221.59.169:4000/rtp/239.76.252.88:9000$576p
深圳卫视,http://113.221.59.169:4000/rtp/239.76.253.188:9000$1080p
湖北卫视,http://113.221.59.169:4000/rtp/239.76.246.193:1234$1080p
湖北卫视,http://113.221.59.169:4000/rtp/239.76.252.93:9000$576p
湖北卫视,http://113.221.59.169:4000/rtp/239.76.253.193:9000$1080p
吉林卫视,http://113.221.59.169:4000/rtp/239.76.253.201:9000$1080p
甘肃卫视,http://113.221.59.169:4000/rtp/239.76.245.110:1234$576p
甘肃卫视,http://113.221.59.169:4000/rtp/239.76.246.94:1234$1080p
甘肃卫视,http://113.221.59.169:4000/rtp/239.76.252.110:9000$576p
甘肃卫视,http://113.221.59.169:4000/rtp/239.76.253.94:9000$1080p
西藏卫视,http://113.221.59.169:4000/rtp/239.76.245.108:1234$1080p
西藏卫视,http://113.221.59.169:4000/rtp/239.76.252.108:9000$1080p
贵州卫视,http://113.221.59.169:4000/rtp/239.76.245.198:1234$1080p
贵州卫视,http://113.221.59.169:4000/rtp/239.76.252.198:9000$1080p
辽宁卫视,http://113.221.59.169:4000/rtp/239.76.245.197:1234$1080p
