河北电信-组播1,#genre#
望都综合,http://106.112.254.144:8989/rtp/239.254.201.56:6246
枣强综合,http://106.112.254.144:8989/rtp/239.254.201.136:5363
柏乡综合,http://106.112.254.144:8989/rtp/239.254.201.140:5383
栾城综合,http://106.112.254.144:8989/rtp/239.254.200.215:5173
武安综合,http://106.112.254.144:8989/rtp/239.254.201.6:5216
永清综合,http://106.112.254.144:8989/rtp/239.254.201.141:5316
涉县新闻综合,http://106.112.254.144:8989/rtp/239.254.201.97:5222
涞水综合,http://106.112.254.144:8989/rtp/239.254.201.10:5250
涞源综合,http://106.112.254.144:8989/rtp/239.254.200.213:5260
涿州综合,http://106.112.254.144:8989/rtp/239.254.201.17:5261
涿鹿综合,http://106.112.254.144:8989/rtp/239.254.201.145:5272
深州综合,http://106.112.254.144:8989/rtp/239.254.201.46:5357
深泽综合,http://106.112.254.144:8989/rtp/239.254.201.108:5180
清河综合,http://106.112.254.144:8989/rtp/239.254.200.170:5366
满城综合,http://106.112.254.144:8989/rtp/239.254.200.222:5252
滦南综合,http://106.112.254.144:8989/rtp/239.254.201.22:5191
滦州综合,http://106.112.254.144:8989/rtp/239.254.201.30:5196
滦平综合,http://106.112.254.144:8989/rtp/239.254.201.4:5291
玉田综合,http://106.112.254.144:8989/rtp/239.254.201.28:5194
盐山综合,http://106.112.254.144:8989/rtp/239.254.201.114:5334
石家庄新闻综合,http://106.112.254.144:8989/rtp/239.254.200.157:6000
石家庄城市服务,http://106.112.254.144:8989/rtp/239.254.200.30:6000
石家庄城市服务,http://106.112.254.144:8989/rtp/239.254.200.31:6000
石家庄文化娱乐,http://106.112.254.144:8989/rtp/239.254.200.29:6000
秦皇岛新闻综合,http://106.112.254.144:8989/rtp/239.254.200.39:6000
秦皇岛民生,http://106.112.254.144:8989/rtp/239.254.200.40:6000
肃宁综合,http://106.112.254.144:8989/rtp/239.254.201.122:5336
肥乡新闻综合,http://106.112.254.144:8989/rtp/239.254.201.105:5223
衡水新闻综合,http://106.112.254.144:8989/rtp/239.254.200.147:6000
衡水公共,http://106.112.254.144:8989/rtp/239.254.200.149:6000
赞皇综合,http://106.112.254.144:8989/rtp/239.254.200.244:5177
赵县1套,http://106.112.254.144:8989/rtp/239.254.201.111:5183
迁安综合,http://106.112.254.144:8989/rtp/239.254.201.109:5199
迁西综合,http://106.112.254.144:8989/rtp/239.254.201.26:5188
遵化综合,http://106.112.254.144:8989/rtp/239.254.201.146:5202
邢台城市生活,http://106.112.254.144:8989/rtp/239.254.200.152:6000
邢台综合,http://106.112.254.144:8989/rtp/239.254.200.150:6000
邯山综合,http://106.112.254.144:8989/rtp/239.254.201.116:5225
邯郸新闻综合,http://106.112.254.144:8989/rtp/239.254.200.153:6000
邯郸公共,http://106.112.254.144:8989/rtp/239.254.200.154:6000
邯郸科技教育,http://106.112.254.144:8989/rtp/239.254.200.155:6000
邱县综合,http://106.112.254.144:8989/rtp/239.254.201.129:6209
阜城综合,http://106.112.254.144:8989/rtp/239.254.201.98:5361
阜平综合,http://106.112.254.144:8989/rtp/239.254.201.40:5248
隆化综合,http://106.112.254.144:8989/rtp/239.254.201.142:5296
隆尧综合,http://106.112.254.144:8989/rtp/239.254.201.69:5379
雄县综合,http://106.112.254.144:8989/rtp/239.254.201.94:6254
霸州新闻,http://106.112.254.144:8989/rtp/239.254.200.4:5313
青县综合,http://106.112.254.144:8989/rtp/239.254.201.112:5333
顺平综合,http://106.112.254.144:8989/rtp/239.254.201.118:6257
饶阳综合,http://106.112.254.144:8989/rtp/239.254.201.44:5353
馆陶综合,http://106.112.254.144:8989/rtp/239.254.201.106:5224
香河综合,http://106.112.254.144:8989/rtp/239.254.201.32:5306
高碑店综合,http://106.112.254.144:8989/rtp/239.254.200.210:5254
高邑融媒,http://106.112.254.144:8989/rtp/239.254.201.24:5170
魏县综合,http://106.112.254.144:8989/rtp/239.254.201.148:6211
鸡泽综合,http://106.112.254.144:8989/rtp/239.254.201.60:5218
鹿泉综合,http://106.112.254.144:8989/rtp/239.254.201.204:6166
黄骅综合,http://106.112.254.144:8989/rtp/239.254.201.36:5325
东方财经,http://106.112.254.144:8989/rtp/239.254.201.181:7214
中华特产,http://106.112.254.144:8989/rtp/239.254.201.184:6263
中国交通,http://106.112.254.144:8989/rtp/239.254.201.110:5181
书画,http://106.112.254.144:8989/rtp/239.254.200.217:6267
优优宝贝,http://106.112.254.144:8989/rtp/239.254.201.186:6272
优漫卡通,http://106.112.254.144:8989/rtp/239.254.201.203:7178
优购物,http://106.112.254.144:8989/rtp/239.254.201.78:6283
动漫秀场,http://106.112.254.144:8989/rtp/239.254.201.165:6358
嘉佳卡通,http://106.112.254.144:8989/rtp/239.254.201.201:7269
四海钓鱼,http://106.112.254.144:8989/rtp/239.254.201.185:6363
固安综合,http://106.112.254.144:8989/rtp/239.254.201.101:5312
国学频道,http://106.112.254.144:8989/rtp/239.254.200.107:6255
天元围棋,http://106.112.254.144:8989/rtp/239.254.201.156:6270
央广购物,http://106.112.254.144:8989/rtp/239.254.201.202:7268
家庭理财,http://106.112.254.144:8989/rtp/239.254.201.188:6366
家有购物,http://106.112.254.144:8989/rtp/239.254.201.144:7262
家有购物,http://106.112.254.144:8989/rtp/239.254.201.80:7192
快乐垂钓,http://106.112.254.144:8989/rtp/239.254.200.229:6257
快乐购,http://106.112.254.144:8989/rtp/239.254.201.79:7196
文物宝库,http://106.112.254.144:8989/rtp/239.254.200.106:6239
文物宝库,http://106.112.254.144:8989/rtp/239.254.201.227:7230
新动漫,http://106.112.254.144:8989/rtp/239.254.201.158:7170
梨园频道,http://106.112.254.144:8989/rtp/239.254.200.120:6247
梨园频道,http://106.112.254.144:8989/rtp/239.254.201.231:7228
欢笑剧场,http://106.112.254.144:8989/rtp/239.254.201.164:6355
武术世界,http://106.112.254.144:8989/rtp/239.254.200.100:6234
武术世界,http://106.112.254.144:8989/rtp/239.254.201.224:7229
求索纪录,http://106.112.254.144:8989/rtp/239.254.201.176:7221
江西陶瓷,http://106.112.254.144:8989/rtp/239.254.201.21:7175
沙河综合,http://106.112.254.144:8989/rtp/239.254.200.181:5369
法治天地,http://106.112.254.144:8989/rtp/239.254.201.183:7226
游戏风云,http://106.112.254.144:8989/rtp/239.254.201.163:6354
环球奇观,http://106.112.254.144:8989/rtp/239.254.200.105:6238
环球旅游,http://106.112.254.144:8989/rtp/239.254.201.161:6264
生态环境,http://106.112.254.144:8989/rtp/239.254.201.187:6226
生活时尚,http://106.112.254.144:8989/rtp/239.254.201.166:6359
羽毛球专区,http://106.112.254.144:8989/rtp/239.254.201.214:7264
聚鲨环球精选,http://106.112.254.144:8989/rtp/239.254.201.81:7191
财富天下,http://106.112.254.144:8989/rtp/239.254.200.124:6370
都市剧场,http://106.112.254.144:8989/rtp/239.254.201.167:6360
重庆汽摩,http://106.112.254.144:8989/rtp/239.254.200.103:6252
金色学堂,http://106.112.254.144:8989/rtp/239.254.201.182:7227
金鹰卡通,http://106.112.254.144:8989/rtp/239.254.200.92:9252
金鹰纪实,http://106.112.254.144:8989/rtp/239.254.200.189:6293
河北电信-组播2,#genre#
BRTV卡酷少儿,http://106.8.17.2:14258/rtp/239.254.200.91:9248
BRTV纪实科教,http://106.8.17.2:14258/rtp/239.254.200.188:6311
CCTV-1 综合,http://106.8.17.2:14258/rtp/239.254.200.27:6000
CCTV-1 综合,http://106.8.17.2:14258/rtp/239.254.200.45:8008
CCTV-2 财经,http://106.8.17.2:14258/rtp/239.254.200.158:6000
CCTV-3 综艺,http://106.8.17.2:14258/rtp/239.254.200.13:6000
CCTV-3 综艺,http://106.8.17.2:14258/rtp/239.254.201.152:7205
