宁夏电信-组播1,#genre#
财富天下,http://111.113.150.188:9999/rtp/239.121.5.213:9136
华数4K,http://111.113.150.188:9999/rtp/239.121.5.135:2000
华数光影,http://111.113.150.188:9999/rtp/239.121.4.84:8478
华数光影,http://111.113.150.188:9999/rtp/239.121.5.146:4120
华数剧场,http://111.113.150.188:9999/rtp/239.121.4.99:8568
华数剧场,http://111.113.150.188:9999/rtp/239.121.5.208:8072
华数动画,http://111.113.150.188:9999/rtp/239.121.4.166:8980
华数动画,http://111.113.150.188:9999/rtp/239.121.5.233:4120
华数古装剧场,http://111.113.150.188:9999/rtp/239.121.4.175:9034
华数古装剧场,http://111.113.150.188:9999/rtp/239.121.5.225:4120
华数喜剧影院,http://111.113.150.188:9999/rtp/239.121.4.176:9040
华数喜剧影院,http://111.113.150.188:9999/rtp/239.121.5.242:4120
华数城市剧场,http://111.113.150.188:9999/rtp/239.121.4.173:9022
华数城市剧场,http://111.113.150.188:9999/rtp/239.121.5.223:4120
华数家庭影院,http://111.113.150.188:9999/rtp/239.121.4.80:8454
华数家庭影院,http://111.113.150.188:9999/rtp/239.121.5.151:4120
华数军旅剧场,http://111.113.150.188:9999/rtp/239.121.4.174:9028
华数军旅剧场,http://111.113.150.188:9999/rtp/239.121.5.224:4120
华数动作影院,http://111.113.150.188:9999/rtp/239.121.4.177:9046;
华数动作影院,http://111.113.150.188:9999/rtp/239.121.5.243:4120
华数少儿动画,http://111.113.150.188:9999/rtp/239.121.4.87:8496
华数少儿动画,http://111.113.150.188:9999/rtp/239.121.5.149:9000
华数星影,http://111.113.150.188:9999/rtp/239.121.4.168:8992
华数星影,http://111.113.150.188:9999/rtp/239.121.5.244:4120
华数武侠剧场,http://111.113.150.188:9999/rtp/239.121.4.179:9058
华数武侠剧场,http://111.113.150.188:9999/rtp/239.121.5.241:4120
华数热播剧场,http://111.113.150.188:9999/rtp/239.121.4.171:9010
华数热播剧场,http://111.113.150.188:9999/rtp/239.121.5.211:9020
华数电影,http://111.113.150.188:9999/rtp/239.121.5.207:9016
华数经典电影,http://111.113.150.188:9999/rtp/239.121.4.172:9016
华数经典电影,http://111.113.150.188:9999/rtp/239.121.5.212:9024
华数魅力时尚,http://111.113.150.188:9999/rtp/239.121.4.85:8484
华数魅力时尚,http://111.113.150.188:9999/rtp/239.121.5.147:9012
IPTV3,http://111.113.150.188:9999/rtp/239.121.4.142:8846
IPTV5,http://111.113.150.188:9999/rtp/239.121.4.143:8828
IPTV6,http://111.113.150.188:9999/rtp/239.121.4.144:8834
IPTV8,http://111.113.150.188:9999/rtp/239.121.4.145:8840
IPTV军事,http://111.113.150.188:9999/rtp/239.121.4.196:9160
IPTV军事,http://111.113.150.188:9999/rtp/239.121.5.230:4120
IPTV台球,http://111.113.150.188:9999/rtp/239.121.4.194:9148
IPTV台球,http://111.113.150.188:9999/rtp/239.121.5.236:4120
IPTV国学,http://111.113.150.188:9999/rtp/239.121.4.81:8460
IPTV国学,http://111.113.150.188:9999/rtp/239.121.5.152:4120
IPTV地理,http://111.113.150.188:9999/rtp/239.121.4.82:8466
IPTV地理,http://111.113.150.188:9999/rtp/239.121.5.153:4120
IPTV墨宝,http://111.113.150.188:9999/rtp/239.121.4.86:8490
IPTV墨宝,http://111.113.150.188:9999/rtp/239.121.5.148:4120
IPTV好学生,http://111.113.150.188:9999/rtp/239.121.4.197:9166
IPTV好学生,http://111.113.150.188:9999/rtp/239.121.5.234:4120
IPTV戏曲,http://111.113.150.188:9999/rtp/239.121.4.187:9106
IPTV戏曲,http://111.113.150.188:9999/rtp/239.121.5.231:4120
IPTV早教,http://111.113.150.188:9999/rtp/239.121.4.198:9172
IPTV早教,http://111.113.150.188:9999/rtp/239.121.5.232:4120
IPTV武术,http://111.113.150.188:9999/rtp/239.121.4.191:9130
IPTV武术,http://111.113.150.188:9999/rtp/239.121.5.238:4120
IPTV法治,http://111.113.150.188:9999/rtp/239.121.4.185:9094
IPTV法治,http://111.113.150.188:9999/rtp/239.121.5.218:1234
IPTV爱体育,http://111.113.150.188:9999/rtp/239.121.5.116:4120
IPTV爱生活,http://111.113.150.188:9999/rtp/239.121.4.189:9118
IPTV爱生活,http://111.113.150.188:9999/rtp/239.121.5.237:4120
IPTV爱综艺,http://111.113.150.188:9999/rtp/239.121.5.206:9004
IPTV相声小品,http://111.113.150.188:9999/rtp/239.121.4.186:9100
IPTV相声小品,http://111.113.150.188:9999/rtp/239.121.5.216:1234
IPTV精选,http://111.113.150.188:9999/rtp/239.121.4.169:9190
IPTV精选,http://111.113.150.188:9999/rtp/239.121.5.228:4120
IPTV美人,http://111.113.150.188:9999/rtp/239.121.4.188:9112
IPTV美人,http://111.113.150.188:9999/rtp/239.121.5.227:4120
IPTV美妆,http://111.113.150.188:9999/rtp/239.121.4.83:8472
IPTV美妆,http://111.113.150.188:9999/rtp/239.121.5.154:4120
IPTV解密,http://111.113.150.188:9999/rtp/239.121.4.183:9082
IPTV解密,http://111.113.150.188:9999/rtp/239.121.5.229:4120
IPTV谍战剧场,http://111.113.150.188:9999/rtp/239.121.4.170:9004
IPTV谍战剧场,http://111.113.150.188:9999/rtp/239.121.5.215:1234
IPTV足球,http://111.113.150.188:9999/rtp/239.121.4.193:9142
IPTV足球,http://111.113.150.188:9999/rtp/239.121.5.240:4120
IPTV野外,http://111.113.150.188:9999/rtp/239.121.4.182:9076
IPTV野外,http://111.113.150.188:9999/rtp/239.121.5.217:1234
IPTV鉴赏,http://111.113.150.188:9999/rtp/239.121.4.184:9088
IPTV鉴赏,http://111.113.150.188:9999/rtp/239.121.5.235:4120
IPTV音乐现场,http://111.113.150.188:9999/rtp/239.121.4.178:9052
IPTV音乐现场,http://111.113.150.188:9999/rtp/239.121.5.226:4120
IPTV高网,http://111.113.150.188:9999/rtp/239.121.4.192:9136
